-5.965346504539755651e-02,-5.965346504539793815e-02,0.000000000000000000e+00
-1.100092592803445235e-01,-1.100092592803446345e-01,-6.103232661511187596e-02
-1.434102335823750907e-01,-1.434102335823746466e-01,-1.034519732784548451e-01
-1.598563879514892372e-01,-1.598563879514880715e-01,-1.272589399900289353e-01
-6.321734942024634374e-02,-5.622464502167882905e-02,0.000000000000000000e+00
-1.164055845815880758e-01,-1.032784754654073461e-01,-6.114821724717778295e-02
-1.516872704110844849e-01,-1.345219935329585448e-01,-1.035471676455308465e-01
-1.690624069087355574e-01,-1.499551992243323417e-01,-1.271968511950592462e-01
-6.669514696936403031e-02,-5.252726043711337944e-02,0.000000000000000000e+00
-1.224735584729748777e-01,-9.603304307097547399e-02,-6.114408249204386636e-02
-1.594946989705454676e-01,-1.249396623993602601e-01,-1.035769710679956407e-01
-1.777585684620759110e-01,-1.392471184222676406e-01,-1.272986657278553368e-01
-7.008685769275062316e-02,-4.856131129170157545e-02,0.000000000000000000e+00
-1.282131809545049295e-01,-8.827296209704907359e-02,-6.101992234971016782e-02
-1.668325192607581497e-01,-1.146632401815798896e-01,-1.035413835458492277e-01
-1.859448726115103256e-01,-1.277321455452940790e-01,-1.275643835884172073e-01
-5.622464502167837108e-02,-6.321734942024641313e-02,0.000000000000000000e+00
-1.032784754654072767e-01,-1.164055845815880480e-01,-6.114821724717790091e-02
-1.345219935329589611e-01,-1.516872704110842351e-01,-1.035471676455309853e-01
-1.499551992243335352e-01,-1.690624069087350578e-01,-1.271968511950592740e-01
-5.538819453814883970e-02,-5.538819453814908256e-02,0.000000000000000000e+00
-1.066378970082955818e-01,-1.066378970082956235e-01,-5.505876158609884774e-02
-1.411028590276355577e-01,-1.411028590276352246e-01,-9.727580212973475915e-02
-1.587830805961687741e-01,-1.587830805961677472e-01,-1.266511216309078036e-01
-5.509531302973386807e-02,-4.859952154636298927e-02,0.000000000000000000e+00
-1.096772756802840421e-01,-9.686222315868896204e-02,-5.007745898169724957e-02
-1.469522778559710641e-01,-1.298213789692889975e-01,-9.185948872942296950e-02
-1.669203195567949827e-01,-1.474769889781629706e-01,-1.253460892431770834e-01
-5.534600049643344233e-02,-4.285133044488811938e-02,0.000000000000000000e+00
-1.123966114813726713e-01,-8.707856303276810539e-02,-4.620430943397318274e-02
-1.520702500179656469e-01,-1.178428302360456925e-01,-8.729822744459554695e-02
-1.743669161062122441e-01,-1.351441320547207836e-01,-1.232817540318671412e-01
-5.252726043711304638e-02,-6.669514696936376663e-02,0.000000000000000000e+00
-9.603304307097552950e-02,-1.224735584729746696e-01,-6.114408249204408841e-02
-1.249396623993606764e-01,-1.594946989705454121e-01,-1.035769710679958766e-01
-1.392471184222684732e-01,-1.777585684620759943e-01,-1.272986657278553646e-01
-4.859952154636273253e-02,-5.509531302973383338e-02,0.000000000000000000e+00
-9.686222315868887878e-02,-1.096772756802839449e-01,-5.007745898169736060e-02
-1.298213789692892750e-01,-1.469522778559708143e-01,-9.185948872942306664e-02
-1.474769889781639143e-01,-1.669203195567943443e-01,-1.253460892431771390e-01
-4.610226844851141731e-02,-4.610226844851152833e-02,0.000000000000000000e+00
-9.762413704619334054e-02,-9.762413704619339605e-02,-4.171047104241527165e-02
-1.338237173277849745e-01,-1.338237173277847525e-01,-8.238580535969491914e-02
-1.547010092932862568e-01,-1.547010092932854519e-01,-1.220260029518389078e-01
-4.503550114355912848e-02,-3.971601322569683068e-02,0.000000000000000000e+00
-9.831878473348895642e-02,-8.631414257070298135e-02,-3.604311867419781462e-02
-1.369466774748477889e-01,-1.201090173859871990e-01,-7.515592095881137857e-02
-1.609191793676356119e-01,-1.411006376715494282e-01,-1.173384068538406988e-01
-4.856131129170157545e-02,-7.008685769274997091e-02,0.000000000000000000e+00
-8.827296209704940666e-02,-1.282131809545046519e-01,-6.101992234971044538e-02
-1.146632401815802504e-01,-1.668325192607582608e-01,-1.035413835458495191e-01
-1.277321455452941346e-01,-1.859448726115108808e-01,-1.275643835884172350e-01
-4.285133044488801529e-02,-5.534600049643313008e-02,0.000000000000000000e+00
-8.707856303276806376e-02,-1.123966114813725048e-01,-4.620430943397337009e-02
-1.178428302360458035e-01,-1.520702500179656191e-01,-8.729822744459579675e-02
